country,date,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths,Population Density,stringency_index,hospital_beds_per_1000 people,GDP/Capita,Population aged 65 and over (%),Death Rate,exp_Death Rate,sqrt(daily)
Austria,2020-05-01 00:00:00,15531,79,1832,589,5,108.2106487,67.59,7.37,50137.7,19,0.037924152,1.03865245,2.236067977
Austria,2020-05-02 00:00:00,15558,27,1782,596,7,108.2106487,64.81,7.37,50137.7,19,0.038308266,1.039051488,2.645751311
Austria,2020-05-03 00:00:00,15597,39,1771,598,2,108.2106487,64.81,7.37,50137.7,19,0.038340707,1.039085196,1.414213562
Austria,2020-05-04 00:00:00,15621,24,1705,600,2,108.2106487,64.81,7.37,50137.7,19,0.038409833,1.039157026,1.414213562
Austria,2020-05-05 00:00:00,15650,29,1582,606,6,108.2106487,64.81,7.37,50137.7,19,0.038722045,1.039481514,2.449489743
Austria,2020-05-06 00:00:00,15684,34,1437,608,2,108.2106487,64.81,7.37,50137.7,19,0.038765621,1.039526812,1.414213562
Austria,2020-05-07 00:00:00,15752,68,1445,609,1,108.2106487,64.81,7.37,50137.7,19,0.038661757,1.039418848,1
Austria,2020-05-08 00:00:00,15774,22,1324,614,5,108.2106487,64.81,7.37,50137.7,19,0.038924813,1.039692309,2.236067977
Austria,2020-05-09 00:00:00,15833,59,1290,615,1,108.2106487,64.81,7.37,50137.7,19,0.038842923,1.039607172,1
Austria,2020-05-10 00:00:00,15871,38,1262,618,3,108.2106487,64.81,7.37,50137.7,19,0.038938945,1.039707003,1.732050808
Austria,2020-05-11 00:00:00,15882,11,1201,620,2,108.2106487,59.26,7.37,50137.7,19,0.039037905,1.039809896,1.414213562
Austria,2020-05-12 00:00:00,15961,79,1190,623,3,108.2106487,59.26,7.37,50137.7,19,0.039032642,1.039804424,1.732050808
Austria,2020-05-13 00:00:00,15997,36,1069,624,1,108.2106487,59.26,7.37,50137.7,19,0.039007314,1.039778088,1
Austria,2020-05-14 00:00:00,16058,61,1027,626,2,108.2106487,59.26,7.37,50137.7,19,0.038983684,1.039753519,1.414213562
Austria,2020-05-15 00:00:00,16109,51,1010,628,2,108.2106487,59.26,7.37,50137.7,19,0.038984419,1.039754283,1.414213562
Austria,2020-05-16 00:00:00,16201,92,1048,629,1,108.2106487,59.26,7.37,50137.7,19,0.038824764,1.039588294,1
Austria,2020-05-17 00:00:00,16242,41,1050,629,0,108.2106487,59.26,7.37,50137.7,19,0.038726758,1.039486413,0
Austria,2020-05-18 00:00:00,16269,27,1026,629,0,108.2106487,59.26,7.37,50137.7,19,0.038662487,1.039419607,0
Austria,2020-05-19 00:00:00,16321,52,1011,632,3,108.2106487,59.26,7.37,50137.7,19,0.038723117,1.039482629,1.732050808
Austria,2020-05-20 00:00:00,16353,32,838,633,1,108.2106487,59.26,7.37,50137.7,19,0.038708494,1.039467428,1
Austria,2020-05-21 00:00:00,16404,51,820,633,0,108.2106487,59.26,7.37,50137.7,19,0.038588149,1.039342342,0
Austria,2020-05-22 00:00:00,16436,32,796,635,2,108.2106487,59.26,7.37,50137.7,19,0.038634704,1.039390729,1.414213562
Austria,2020-05-23 00:00:00,16486,50,810,639,4,108.2106487,59.26,7.37,50137.7,19,0.03876016,1.039521135,2
Austria,2020-05-24 00:00:00,16503,17,800,640,1,108.2106487,59.26,7.37,50137.7,19,0.038780828,1.03954262,1
Austria,2020-05-25 00:00:00,16539,36,760,641,1,108.2106487,59.26,7.37,50137.7,19,0.038756878,1.039517723,1
Austria,2020-05-26 00:00:00,16557,18,732,643,2,108.2106487,59.26,7.37,50137.7,19,0.038835538,1.039599495,1.414213562
Austria,2020-05-27 00:00:00,16591,34,718,645,2,108.2106487,59.26,7.37,50137.7,19,0.038876499,1.039642079,1.414213562
Austria,2020-05-28 00:00:00,16628,37,674,668,23,108.2106487,59.26,7.37,50137.7,19,0.040173202,1.04099106,4.795831523
Austria,2020-05-29 00:00:00,16655,27,640,668,0,108.2106487,53.7,7.37,50137.7,19,0.040108076,1.040923267,0
Austria,2020-05-30 00:00:00,16685,30,497,668,0,108.2106487,53.7,7.37,50137.7,19,0.04003596,1.040848203,0
Austria,2020-05-31 00:00:00,16731,46,470,668,0,108.2106487,53.7,7.37,50137.7,19,0.039925886,1.040733638,0
Austria,2020-06-01 00:00:00,16733,2,469,668,0,108.2106487,53.7,7.37,50137.7,19,0.039921114,1.040728672,0
Austria,2020-06-02 00:00:00,16759,26,461,669,1,108.2106487,53.7,7.37,50137.7,19,0.03991885,1.040726315,1
Austria,2020-06-03 00:00:00,16771,12,429,670,1,108.2106487,50,7.37,50137.7,19,0.039949914,1.040758645,1
Austria,2020-06-04 00:00:00,16805,34,418,670,0,108.2106487,50,7.37,50137.7,19,0.039869087,1.040674527,0
Austria,2020-06-05 00:00:00,16843,38,429,672,2,108.2106487,50,7.37,50137.7,19,0.03989788,1.040704492,1.414213562
Austria,2020-06-06 00:00:00,16898,55,437,672,0,108.2106487,50,7.37,50137.7,19,0.03976802,1.040569355,0
Austria,2020-06-07 00:00:00,16902,4,437,672,0,108.2106487,50,7.37,50137.7,19,0.039758608,1.040559562,0
Austria,2020-06-08 00:00:00,16968,66,457,672,0,108.2106487,50,7.37,50137.7,19,0.03960396,1.040398654,0
Austria,2020-06-09 00:00:00,16979,11,432,672,0,108.2106487,50,7.37,50137.7,19,0.039578303,1.04037196,0
Austria,2020-06-10 00:00:00,17005,26,422,673,1,108.2106487,50,7.37,50137.7,19,0.039576595,1.040370183,1
Austria,2020-06-11 00:00:00,17034,29,411,674,1,108.2106487,50,7.37,50137.7,19,0.039567923,1.040361161,1
Austria,2020-06-12 00:00:00,17064,30,404,675,1,108.2106487,50,7.37,50137.7,19,0.039556962,1.040349758,1
Austria,2020-06-13 00:00:00,17078,14,389,677,2,108.2106487,50,7.37,50137.7,19,0.039641644,1.04043786,1.414213562
Austria,2020-06-14 00:00:00,17109,31,373,677,0,108.2106487,50,7.37,50137.7,19,0.039569817,1.040363131,0
Austria,2020-06-15 00:00:00,17135,26,391,678,1,108.2106487,50,7.37,50137.7,19,0.039568135,1.040361382,1
Austria,2020-06-16 00:00:00,17189,54,419,681,3,108.2106487,50,7.37,50137.7,19,0.039618361,1.040413636,1.732050808
Austria,2020-06-17 00:00:00,17203,14,417,687,6,108.2106487,50,7.37,50137.7,19,0.039934895,1.040743014,2.449489743
